org_id remap_id freebase_id
1 0 m.0nmj1r2
8 1 m.0xt3h5
9 2 m.0dyvk0x
12 3 m.0dnbpg0
13 4 m.01c_zsy
37 5 m.012gpq8
39 6 m.0fwtpxk
64 7 m.0ftd33x
72 8 m.0dnh50s
74 9 m.0wds1p
79 10 m.0lhkkv
94 11 m.0slzd9
101 12 m.0z32_f
111 13 m.0dww0d5
125 14 m.0m73b8
128 15 m.010r86h
130 16 m.0mb69f
133 17 m.01d5d42
150 18 m.0dt9zz8
170 19 m.0ly7gm
174 20 m.011g2_0
181 21 m.0152wr5
183 22 m.0lg2yt
188 23 m.0149kfp
190 24 m.0mv78_
192 25 m.0mysyw
202 26 m.0fcnwns
227 27 m.01brlkd
228 28 m.0mv777
230 29 m.0nmbzyf
236 30 m.0lvj5v
237 31 m.0ps4bj
248 32 m.0xnj18
249 33 m.0lgv0b
251 34 m.0fzrr6f
253 35 m.0f_1fxs
254 36 m.0fvj91f
259 37 m.0fs6cvl
261 38 m.0fvmnrg
288 39 m.0tmr1d
297 40 m.0dtqnks
310 41 m.0nn5skz
311 42 m.0dql0fk
320 43 m.0nqsks
325 44 m.0m4cfb
336 45 m.0mv783
353 46 m.0nqslf
369 47 m.0fqpjj1
385 48 m.0v3nf0
395 49 m.0z3hbh
405 50 m.0rm02n
406 51 m.010897ph
409 52 m.0p6qqv
414 53 m.0pzn85
415 54 m.0pzn7z
417 55 m.015xxzs
419 56 m.0xckqf
444 57 m.0g8vcdv
446 58 m.012gpq1
454 59 m.0lzr9k
455 60 m.0ly7hq
459 61 m.0vfqm6
461 62 m.012gppd
464 63 m.0lzrbf
471 64 m.0lzr9_
472 65 m.0lzr6h
474 66 m.0lzr7t
475 67 m.0dr08gk
493 68 m.016ts5h
494 69 m.019yc4k
495 70 m.012zgjg
510 71 m.0dsbm9r
564 72 m.0mlgb5
566 73 m.0f3spfq
591 74 m.0rnvsq
594 75 m.0f5yx9n
617 76 m.0vfqmn
621 77 m.0lj3bl
