org_id remap_id freebase_id
1526 0 http://dbpedia.org/resource/Fathers'_Day_(film)
761 1 http://dbpedia.org/resource/The_Phantom_of_the_Opera_(1925_film)
1080 2 http://dbpedia.org/resource/Monty_Python's_Life_of_Brian
704 3 http://dbpedia.org/resource/The_Quest_(film)
2965 4 http://dbpedia.org/resource/The_Omega_Code
2393 5 http://dbpedia.org/resource/Star_Trek:_Insurrection
664 6 http://dbpedia.org/resource/Faithful
3325 7 http://dbpedia.org/resource/The_Next_Best_Thing
2103 8 http://dbpedia.org/resource/Tall_Tale_(film)
256 9 http://dbpedia.org/resource/Junior_(1994_film)
2475 10 http://dbpedia.org/resource/52_Pick-Up
3612 11 http://dbpedia.org/resource/The_Slipper_and_the_Rose
3589 12 http://dbpedia.org/resource/Kill,_Baby,_Kill
2347 13 http://dbpedia.org/resource/The_Pope_of_Greenwich_Village
1250 14 http://dbpedia.org/resource/The_Bridge_on_the_River_Kwai
764 15 http://dbpedia.org/resource/Heavy_(film)
1052 16 http://dbpedia.org/resource/The_Proprietor
2471 17 http://dbpedia.org/resource/%22Crocodile%22_Dundee_II
663 18 http://dbpedia.org/resource/Kids_in_the_Hall:_Brain_Candy
423 19 http://dbpedia.org/resource/Blown_Away_(1994_film)
177 20 http://dbpedia.org/resource/Lord_of_Illusions
1256 21 http://dbpedia.org/resource/Duck_Soup_(1933_film)
3513 22 http://dbpedia.org/resource/Rules_of_Engagement_(film)
937 23 http://dbpedia.org/resource/Love_in_the_Afternoon_(1957_film)
84 24 http://dbpedia.org/resource/Last_Summer_in_the_Hamptons
1552 25 http://dbpedia.org/resource/Con_Air
1066 26 http://dbpedia.org/resource/Shall_We_Dance_(1937_film)
3401 27 http://dbpedia.org/resource/Baby:_Secret_of_the_Lost_Legend
2392 28 http://dbpedia.org/resource/Jack_Frost_(1998_film)
864 29 http://dbpedia.org/resource/The_Time_Traveler's_Wife_(film)
2110 30 http://dbpedia.org/resource/Dead_Men_Don't_Wear_Plaid
2844 31 http://dbpedia.org/resource/The_Minus_Man
1257 32 http://dbpedia.org/resource/Better_Off_Dead_(film)
3723 33 http://dbpedia.org/resource/Hamlet_(1990_film)
1954 34 http://dbpedia.org/resource/Rocky
1608 35 http://dbpedia.org/resource/Air_Force_One_(film)
3444 36 http://dbpedia.org/resource/Bloodsport_(film)
1057 37 http://dbpedia.org/resource/Everyone_Says_I_Love_You
2979 38 http://dbpedia.org/resource/Body_Shots
3675 39 http://dbpedia.org/resource/White_Christmas_(film)
3951 40 http://dbpedia.org/resource/Two_Family_House
1750 41 http://dbpedia.org/resource/Star_Kid
2241 42 http://dbpedia.org/resource/A_Touch_of_Class_(film)
307 43 http://dbpedia.org/resource/Three_Colors:_Blue
3022 44 http://dbpedia.org/resource/The_General_(1926_film)
733 45 http://dbpedia.org/resource/The_Rock_(film)
468 46 http://dbpedia.org/resource/The_Englishman_Who_Went_Up_a_Hill_But_Came_Down_a_Mountain
1927 47 http://dbpedia.org/resource/All_Quiet_on_the_Western_Front_(1930_film)
146 48 http://dbpedia.org/resource/The_Amazing_Panda_Adventure
160 49 http://dbpedia.org/resource/Congo_(film)
1289 50 http://dbpedia.org/resource/Koyaanisqatsi
931 51 http://dbpedia.org/resource/Spellbound_(1945_film)
238 52 http://dbpedia.org/resource/Far_from_Home:_The_Adventures_of_Yellow_Dog
2723 53 http://dbpedia.org/resource/Mystery_Men
